SubPathway	Sample	Genus	GeneCountPerGenome	OTUAbundanceInSample	CountContributedByOTU	ContributionPercentOfSample	ContributionPercentOfAllSamples
Glycine_serine_and_threonine_metabolism	Cef2dayrec21	Lactobacillus	7	70.6666666667	494.6666666665	5.9765258215967	0.216170064306761
Glycine_serine_and_threonine_metabolism	Cef2dayrec22	Lactobacillus	7	70.999999999967	497.000000000168	6.00000000000228	0.217189734421028
Glycine_serine_and_threonine_metabolism	Cef2dayrec23	Lactobacillus	7	69.999999999967	490.000000000165	5.8885363971515	0.214130724077809
Glycine_serine_and_threonine_metabolism	Cef2dayrec25	Lactobacillus	7	54.5	381.5	4.7619932775494	0.166716063746061
Glycine_serine_and_threonine_metabolism	Cef2dayrec26	Lactobacillus	7	47.166666666633	330.166666666535	4.2418889348853	0.144283321223532
Glycine_serine_and_threonine_metabolism	Cef2dayrec28	Lactobacillus	7	70.833333333333	495.833333333332	5.93269292812185	0.216679899364153
Glycine_serine_and_threonine_metabolism	Cef6wkrec13	Lactobacillus	7	0.166666666667	1.166666666668	0.02428158583506	0.0005098350573276
Glycine_serine_and_threonine_metabolism	Cef6wkrec14	Lactobacillus	7	0.166666666667	1.166666666668	0.03561117178638	0.0005098350573276
Glycine_serine_and_threonine_metabolism	Cef6wkrec15	Lactobacillus	7	0.333333333334	2.333333333336	0.11298929929518	0.0010196701146552
Glycine_serine_and_threonine_metabolism	Cef6wkrec16	Lactobacillus	7	0.5	3.5	0.14433587692942	0.001529505171982
Glycine_serine_and_threonine_metabolism	Cef6wkrec17	Lactobacillus	7	0.5	3.5	0.04501055652555	0.001529505171982
Glycine_serine_and_threonine_metabolism	Cef6wkrec18	Lactobacillus	7	0.166666666667	1.166666666668	0.03024266610742	0.0005098350573276
Glycine_serine_and_threonine_metabolism	Cef6wkrec19	Lactobacillus	7	0.166666666667	1.166666666668	0.01635696831162	0.0005098350573276
Glycine_serine_and_threonine_metabolism	Cef6wkrec20	Lactobacillus	7	0.333333333333	2.333333333332	0.03843003855106	0.0010196701146532
Glycine_serine_and_threonine_metabolism	NoAbx31	Lactobacillus	7	0.166666666667	1.166666666668	0.02113687968482	0.0005098350573276
Glycine_serine_and_threonine_metabolism	NoAbx32	Lactobacillus	7	0.166666666667	1.166666666668	0.01800582419408	0.0005098350573276
Glycine_serine_and_threonine_metabolism	NoAbx35	Lactobacillus	7	0.166666666667	1.166666666668	0.03016409243338	0.0005098350573276
Glycine_serine_and_threonine_metabolism	NoAbx6wkrec43	Lactobacillus	7	0.166666666667	1.166666666668	0.09489007113838	0.0005098350573276
Glycine_serine_and_threonine_metabolism	NoAbx6wkrec44	Lactobacillus	7	0.166666666667	1.166666666668	0.01547297814242	0.0005098350573276
Glycolysis___Gluconeogenesis	Cef2dayrec21	Lactobacillus	31	70.6666666667	2190.666666667	22.909075504837	1.24946542067199
Glycolysis___Gluconeogenesis	Cef2dayrec22	Lactobacillus	31	70.999999999967	2200.99999999968	23.0000000000087	1.2553591254851
Glycolysis___Gluconeogenesis	Cef2dayrec23	Lactobacillus	31	69.999999999967	2169.99999999967	22.6088414331938	1.23767801104224
