Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU_ID
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	10	260410
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	3	11	194490
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	192283
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	210950
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	207288
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	185723
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	330772
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	346267
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	195402
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	215214
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	189778
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	173852
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	211494
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	205134
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	180405
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	331043
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	174056
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	320123
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	183478
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	1051764
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	187078
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	198964
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	259557
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	209030
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	389282
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	4	12	203713
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	13	269125
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	13	135956
Bacteria	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter	14	214919
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	330296
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	271162
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	180800
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	175613
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	311174
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	4464787
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	4365109
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	174260
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	258747
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	190971
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	184966
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	217139
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	268220
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	275987
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	272905
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	732285
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	356353
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	262917
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	353593
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	267373
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	346595
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	172464
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	174853
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	460611
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	164308
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	339718
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	187359
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	1510067
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	779847
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	1571092
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	266061
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	321952
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	265063
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	266697
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	197875
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	312476
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	175114
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	250270
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	310751
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	186940
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	182323
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	179059
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	266203
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	355097
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	305553
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	186707
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	2120779
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	199532
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	175573
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	262247
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	177291
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	262410
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	307416
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	335183
Bacteria	Firmicutes	Clostridia	Clostridiales	1	5	15	174320
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	258522
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	3265889
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	170248
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	197600
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	4481359
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	4440624
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	196165
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	743911
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	214835
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	1902400
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	173892
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	263933
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	165241
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	183362
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	183893
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	790663
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	322585
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	196533
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	289984
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	334328
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	258559
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	185587
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	355822
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	833390
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	6	16	213896
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	17	274455
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	17	653533
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus	270758
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus	383971
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus	2897332
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	rc4-4	18	263895
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	190114
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	230933
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	1111580
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	189840
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	199307
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	198904
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	182595
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	266223
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	196349
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	343140
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	273737
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	232380
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	7	19	259275
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	272834
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	271689
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	192557
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	272004
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	263337
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	180879
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	179547
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	317633
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	182033
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	176118
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	272595
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	20	838685
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	21	171079
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	21	189147
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	21	178480
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	21	2978254
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	21	268971
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	21	177271
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	8	22	219151
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	23	1566691
Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	24	4390755
Bacteria	Tenericutes	Mollicutes	RF39	2	9	25	4432841
