Kingdom	Phylum	Class	Order	Family	Genus
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	unknownRikenellaceae
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unknownS24-7
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Bacteria	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter
Bacteria	Firmicutes	Clostridia	Clostridiales	unknownClostridiales	unknownClostridiales
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unknownLachnospiraceae
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	rc4-4
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unknownRuminococcaceae
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	unknownMoraxellaceae
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma
Bacteria	Tenericutes	Mollicutes	RF39	unknownRF39	unknownRF39
