Category	SuperPathway	SubPathway
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis
Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism
Metabolism	Carbohydrate metabolism	Butanoate_metabolism
Metabolism	Carbohydrate metabolism	Propanoate_metabolism
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions
Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism
Metabolism	Carbohydrate metabolism	Inositol_phosphate_metabolism
Metabolism	Amino acid metabolism	Histidine_metabolism
Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism
Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway
Metabolism	Carbohydrate metabolism	Galactose_metabolism
Metabolism	Lipid metabolism	Primary_bile_acid_biosynthesis
Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis
Metabolism	Carbohydrate metabolism	C5-Branched_dibasic_acid_metabolism
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_biosynthesis
Metabolism	Amino acid metabolism	Tyrosine_metabolism
Metabolism	Energy metabolism	Methane_metabolism
Metabolism	Lipid metabolism	Fatty_acid_biosynthesis
Metabolism	Metabolism of cofactors and vitamins	Retinol_metabolism
Metabolism	Metabolism of terpenoids and polyketides	Polyketide_sugar_unit_biosynthesis
Human Diseases	Cancers	Transcriptional_misregulation_in_cancers
Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis
Metabolism	Nucleotide metabolism	Purine_metabolism
Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism
Metabolism	Metabolism of cofactors and vitamins	Pantothenate_and_CoA_biosynthesis
Metabolism	Lipid metabolism	Arachidonic_acid_metabolism
Metabolism	Metabolism of cofactors and vitamins	Riboflavin_metabolism
Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid_biosynthesis
Metabolism	Metabolism of cofactors and vitamins	Vitamin_B6_metabolism
Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism
Metabolism	Amino acid metabolism	Arginine_and_proline_metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Aminobenzoate_degradation
Metabolism	Amino acid metabolism	Lysine_biosynthesis
Metabolism	Amino acid metabolism	Phenylalanine_metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Naphthalene_degradation
Environmental Information Processing	Signal transduction	Wnt_signaling_pathway
Metabolism	Energy metabolism	Carbon_fixation_pathways_in_prokaryotes
Metabolism	Nucleotide metabolism	Pyrimidine_metabolism
Metabolism	Xenobiotics biodegradation and metabolism	Metabolism_of_xenobiotics_by_cytochrome_P450
Metabolism	Lipid metabolism	Steroid_biosynthesis
Metabolism	Metabolism of cofactors and vitamins	Porphyrin_and_chlorophyll_metabolism
Metabolism	Metabolism of terpenoids and polyketides	Biosynthesis_of_siderophore_group_nonribosomal_peptides
Metabolism	Xenobiotics biodegradation and metabolism	Benzoate_degradation
Metabolism	Lipid metabolism	Fatty_acid_degradation
Metabolism	Metabolism of terpenoids and polyketides	Geraniol_degradation
Metabolism	Amino acid metabolism	Alanine_aspartate_and_glutamate_metabolism
Metabolism	Energy metabolism	Nitrogen_metabolism
Metabolism	Metabolism of terpenoids and polyketides	Zeatin_biosynthesis
Metabolism	Metabolism of cofactors and vitamins	One_carbon_pool_by_folate
Metabolism	Amino acid metabolism	Lysine_degradation
Metabolism	Energy metabolism	Sulfur_metabolism
Metabolism	Biosynthesis of other secondary metabolites	Isoquinoline_alkaloid_biosynthesis
Cellular Processes	Transport and catabolism	Peroxisome
Metabolism	Metabolism of other amino acids	Glutathione_metabolism
Metabolism	Metabolism of cofactors and vitamins	Nicotinate_and_nicotinamide_metabolism
Metabolism	Energy metabolism	Oxidative_phosphorylation
