SampleID	Treatment	Day
Cef2dayrec21	Antibiotic	2
Cef2dayrec22	Antibiotic	2
Cef2dayrec23	Antibiotic	2
Cef2dayrec25	Antibiotic	2
Cef2dayrec26	Antibiotic	2
Cef2dayrec28	Antibiotic	2
Cef6wkrec13	Antibiotic	42
Cef6wkrec14	Antibiotic	42
Cef6wkrec15	Antibiotic	42
Cef6wkrec16	Antibiotic	42
Cef6wkrec17	Antibiotic	42
Cef6wkrec18	Antibiotic	42
Cef6wkrec19	Antibiotic	42
Cef6wkrec20	Antibiotic	42
NoAbx29	Control	2
NoAbx31	Control	2
NoAbx32	Control	2
NoAbx33	Control	2
NoAbx34	Control	2
NoAbx35	Control	2
NoAbx36	Control	2
NoAbx6wkrec37	Control	42
NoAbx6wkrec38	Control	42
NoAbx6wkrec39	Control	42
NoAbx6wkrec40	Control	42
NoAbx6wkrec41	Control	42
NoAbx6wkrec42	Control	42
NoAbx6wkrec43	Control	42
NoAbx6wkrec44	Control	42
