Genus	SubPathway	numKO
7	Glycolysis___Gluconeogenesis	32
Pseudomonas	Glycolysis___Gluconeogenesis	26
5	Glycolysis___Gluconeogenesis	28
Ruminococcus	Glycolysis___Gluconeogenesis	22
8	Glycolysis___Gluconeogenesis	17
6	Glycolysis___Gluconeogenesis	28
[Ruminococcus]	Glycolysis___Gluconeogenesis	19
7	Glycine_serine_and_threonine_metabolism	15
Lactobacillus	Glycine_serine_and_threonine_metabolism	6
5	Glycine_serine_and_threonine_metabolism	14
Pseudomonas	Glycine_serine_and_threonine_metabolism	20
6	Glycine_serine_and_threonine_metabolism	12
Ruminococcus	Glycine_serine_and_threonine_metabolism	9
Oscillospira	Glycine_serine_and_threonine_metabolism	10
3	Glycine_serine_and_threonine_metabolism	7
8	Glycine_serine_and_threonine_metabolism	14
rc4-4	Glycine_serine_and_threonine_metabolism	10
[Ruminococcus]	Glycine_serine_and_threonine_metabolism	8
Coprococcus	Glycine_serine_and_threonine_metabolism	11
8	Butanoate_metabolism	9
5	Propanoate_metabolism	5
6	Propanoate_metabolism	6
Ruminococcus	Propanoate_metabolism	2
Oscillospira	Propanoate_metabolism	5
7	Propanoate_metabolism	7
[Ruminococcus]	Propanoate_metabolism	5
Coprococcus	Propanoate_metabolism	3
7	Pentose_and_glucuronate_interconversions	14
5	Pentose_and_glucuronate_interconversions	18
6	Pentose_and_glucuronate_interconversions	21
Ruminococcus	Pentose_and_glucuronate_interconversions	10
Oscillospira	Pentose_and_glucuronate_interconversions	7
[Ruminococcus]	Pentose_and_glucuronate_interconversions	12
Coprococcus	Pentose_and_glucuronate_interconversions	11
7	Fructose_and_mannose_metabolism	23
Turicibacter	Fructose_and_mannose_metabolism	9
6	Fructose_and_mannose_metabolism	26
Coprococcus	Fructose_and_mannose_metabolism	22
Pseudomonas	Inositol_phosphate_metabolism	8
5	Inositol_phosphate_metabolism	6
Ruminococcus	Inositol_phosphate_metabolism	2
7	Inositol_phosphate_metabolism	3
6	Inositol_phosphate_metabolism	4
Coprococcus	Inositol_phosphate_metabolism	6
4	Pentose_and_glucuronate_interconversions	4
Pseudomonas	Pentose_and_glucuronate_interconversions	3
3	Pentose_and_glucuronate_interconversions	2
