Genus	Sample	SubPathway	GeneCountPerGenome	OTUAbundanceInSample	CountContributedByOTU	ContributionPercentOfSample	ContributionPercentOfAllSamples
7	Cef6wkrec13	00010 Glycolysis / Gluconeogenesis	26.2545454545455	94.2	2473.17818181818	6.12107359301228e-05	2.3026928348006e-06
7	Cef6wkrec15	00010 Glycolysis / Gluconeogenesis	26.5609756097561	268.5	7131.62195121951	0.000128799671017439	6.64001279337952e-06
7	Cef6wkrec16	00010 Glycolysis / Gluconeogenesis	26.7777777777778	288.16666666661	7716.46296296145	0.000137143041091158	7.18453854455109e-06
7	Cef6wkrec17	00010 Glycolysis / Gluconeogenesis	27.0704225352113	272.5	7376.69014084507	0.000126985316492908	6.86818752354532e-06
7	Cef6wkrec19	00010 Glycolysis / Gluconeogenesis	26.1967213114754	175	4584.4262295082	7.9544475467281e-05	4.26840472229935e-06
7	Cef6wkrec20	00010 Glycolysis / Gluconeogenesis	26.5609756097561	200.83333333339	5334.32926829419	8.66296023386033e-05	4.96661416264716e-06
7	NoAbx29	00010 Glycolysis / Gluconeogenesis	26.8780487804878	74.9	2013.16585365854	6.56139237277198e-05	1.87439086296514e-06
7	NoAbx31	00010 Glycolysis / Gluconeogenesis	25.9574468085106	67.9	1762.51063829787	4.99720928424766e-05	1.64101424147478e-06
7	NoAbx32	00010 Glycolysis / Gluconeogenesis	26.5341614906832	110.7	2937.33167701863	8.42605532761506e-05	2.73485050766992e-06
7	NoAbx34	00010 Glycolysis / Gluconeogenesis	26.3838383838384	130.733333333339	3449.24713804729	8.47261538961713e-05	3.21147773687656e-06
7	NoAbx35	00010 Glycolysis / Gluconeogenesis	26.2950819672131	147.333333333339	3874.14207650288	9.83210221919341e-05	3.60708309095803e-06
7	NoAbx36	00010 Glycolysis / Gluconeogenesis	25.8782608695652	160.3	4148.2852173913	0.000125561077849397	3.86232852813451e-06
7	NoAbx6wkrec37	00010 Glycolysis / Gluconeogenesis	26.6666666666667	91.2	2432	6.54285449572498e-05	2.2643532178171e-06
7	NoAbx6wkrec38	00010 Glycolysis / Gluconeogenesis	26.1512605042017	133.36666666661	3487.70644257555	0.000103413338371778	3.24728589886817e-06
7	NoAbx6wkrec39	00010 Glycolysis / Gluconeogenesis	26.2574257425743	161.666666666661	4244.95049504936	0.000108387481593147	3.95233030959676e-06
7	NoAbx6wkrec40	00010 Glycolysis / Gluconeogenesis	25.9664804469274	162.866666666729	4229.07411545786	0.000137117812223075	3.93754834774836e-06
7	NoAbx6wkrec42	00010 Glycolysis / Gluconeogenesis	26.3380281690141	188.73333333339	4970.86384976675	0.000141441554852332	4.62820376379525e-06
7	NoAbx6wkrec44	00010 Glycolysis / Gluconeogenesis	25.8550724637681	184.7	4775.43188405797	0.000143498563368419	4.44624364849221e-06
Pseudomonas	Cef2dayrec23	00010 Glycolysis / Gluconeogenesis	38	34.66666666658	1317.33333333004	8.40118766261984e-05	1.22652465964786e-06
Pseudomonas	NoAbx32	00010 Glycolysis / Gluconeogenesis	38	4.333333333342	164.666666666996	4.7236423955988e-06	1.53315582456673e-07
Pseudomonas	NoAbx33	00010 Glycolysis / Gluconeogenesis	38	39	1482	3.69104630738505e-05	1.3798402421073e-06
5	Cef6wkrec13	00010 Glycolysis / Gluconeogenesis	29.5787476280835	870.66666666664	25753.2296015172	0.0006373880167936	2.39779639462904e-05
5	Cef6wkrec14	00010 Glycolysis / Gluconeogenesis	29.9420035149385	1642.3333333334	49174.7504393694	0.000839631168726215	4.57849524641197e-05
5	Cef6wkrec15	00010 Glycolysis / Gluconeogenesis	29.8426073131955	1513.99999999985	45181.7074721735	0.0008159979732839	4.20671647619601e-05
