Genus	Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec28	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wkrec37	NoAbx6wkrec38	NoAbx6wkrec39	NoAbx6wkrec40	NoAbx6wkrec41	NoAbx6wkrec42	NoAbx6wkrec43	NoAbx6wkrec44
4	0	0	0	0	0	0	0.29973474801061	0	0	0	0	0	0	0	0.553133514986376	0.407608695652174	0.438172043010753	0.314917127071823	0.26685393258427	0.301630434782609	0.278894472361809	0.216292134831461	0.343490304709141	0.250673854447439	0.441340782122905	0.2710027100271	0.33879781420765	0.313513513513514	0.351123595505618
7	0	0	0	0	0	0	0.0397877984084881	0.0690537084398977	0.118863049095607	0.110539845758355	0.073490813648294	0.0558510638297872	0.0765171503957784	0.0730478589420655	0.0245231607629428	0.0271739130434783	0.0403225806451613	0.0248618784530387	0.0449438202247191	0.0489130434782609	0.050251256281407	0.0280898876404494	0.0470914127423823	0.045822102425876	0.0642458100558659	0.032520325203252	0.0655737704918033	0.0351351351351351	0.0617977528089888
Lactobacillus	0.997647058823529	1	0.981308411214953	0.764018691588785	0.661214953271028	0.992990654205608	0.0026525198938992	0.00255754475703325	0.00516795865633075	0.0077120822622108	0.0078740157480315	0.00265957446808511	0.00263852242744063	0.00503778337531486	0.00272479564032698	0.00271739130434783	0.00268817204301075	0	0	0.00271739130434783	0	0	0	0	0	0	0	0.0027027027027027	0.00280898876404494
5	0.00235294117647059	0	0	0	0	0.00467289719626168	0.331564986737401	0.60613810741688	0.568475452196382	0.598971722365039	0.614173228346457	0.534574468085106	0.656992084432718	0.690176322418136	0.198910081743869	0.22554347826087	0.209677419354839	0.25414364640884	0.393258426966292	0.214673913043478	0.231155778894472	0.258426966292135	0.25207756232687	0.315363881401617	0.134078212290503	0.254742547425474	0.248633879781421	0.245945945945946	0.168539325842697
Pseudomonas	0	0	0.0186915887850467	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00268817204301075	0.0248618784530387	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0.127320954907162	0.163682864450128	0.201550387596899	0.15681233933162	0.0997375328083989	0.210106382978723	0.116094986807388	0.10831234256927	0.0953678474114441	0.108695652173913	0.102150537634409	0.124309392265193	0.115168539325843	0.206521739130435	0.0577889447236181	0.140449438202247	0.0637119113573407	0.121293800539084	0.0893854748603352	0.102981029810298	0.0983606557377049	0.0567567567567568	0.140449438202247
Ruminococcus	0	0	0	0	0	0	0.0212201591511936	0.020460358056266	0.020671834625323	0.0154241645244216	0.0446194225721785	0.0345744680851064	0.0316622691292876	0.0226700251889169	0.00817438692098093	0.0326086956521739	0.0510752688172043	0.0386740331491713	0.0365168539325843	0.0244565217391304	0.0201005025125628	0.050561797752809	0.0193905817174515	0.0296495956873315	0.0418994413407821	0.037940379403794	0.0491803278688525	0.0162162162162162	0.0365168539325843
Oscillospira	0	0	0	0	0	0.00233644859813084	0.0769230769230769	0.0869565217391304	0.0775193798449612	0.077120822622108	0.118110236220472	0.103723404255319	0.0765171503957784	0.0604534005037783	0.0299727520435967	0.0679347826086956	0.0376344086021505	0.0801104972375691	0.0365168539325843	0.0489130434782609	0.233668341708543	0.0674157303370786	0.0858725761772853	0.0727762803234501	0.0893854748603352	0.0731707317073171	0.0519125683060109	0.232432432432432	0.0730337078651685
3	0	0	0	0	0	0	0.0450928381962865	0	0	0	0	0	0	0	0.0163487738419619	0.0489130434782609	0.0349462365591398	0.0635359116022099	0.0702247191011236	0.0489130434782609	0.050251256281407	0.123595505617978	0.0858725761772853	0.091644204851752	0.0391061452513966	0.127371273712737	0.0355191256830601	0.0459459459459459	0.0646067415730337
Turicibacter	0	0	0	0	0	0	0.0106100795755968	0.020460358056266	0.00516795865633075	0.0179948586118252	0.0078740157480315	0.0212765957446809	0.0131926121372032	0.0201511335012594	0.00272479564032698	0	0.00806451612903226	0.00276243093922652	0	0	0	0.0140449438202247	0.00831024930747922	0.00269541778975741	0.00279329608938547	0	0	0	0.00280898876404494
8	0	0	0	0.235981308411215	0.338785046728972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides	0	0	0	0	0	0	0.0185676392572944	0	0	0	0	0	0	0	0.0490463215258856	0.0543478260869565	0.0483870967741935	0.0359116022099447	0.0112359550561798	0.0652173913043478	0.0603015075376884	0.0786516853932584	0.0637119113573407	0.0431266846361186	0.0726256983240224	0.0650406504065041	0.0846994535519126	0.0324324324324324	0.0337078651685393
