Gene	Category	SuperPathway	SubPathway
K00844	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K12407	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00845	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01810	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K06859	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K13810	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K15916	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00850	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K16370	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K21071	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00918	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00895	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K03841	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K02446	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K11532	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01086	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K04041	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01623	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K11645	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01624	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01622	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K16305	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K16306	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01803	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00134	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K10705	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00150	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K00927	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01834	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K15633	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K15634	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K15635	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
K01689	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
