KO	Category	SuperPathway	SubPathway
K00001	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00001	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00001	Metabolism	Amino Acid Metabolism	Tyrosine metabolism
K00001	Metabolism	Metabolism of Cofactors and Vitamins	Retinol metabolism
K00001	Metabolism	Xenobiotics Biodegradation and Metabolism	Chloroalkane and chloroalkene degradation
K00001	Metabolism	Xenobiotics Biodegradation and Metabolism	Naphthalene degradation
K00001	Metabolism	Xenobiotics Biodegradation and Metabolism	Metabolism of xenobiotics by cytochrome P450
K00001	Metabolism	Xenobiotics Biodegradation and Metabolism	Drug metabolism - cytochrome P450
K00002	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00002	Metabolism	Lipid Metabolism	Glycerolipid metabolism
K00002	Metabolism	Xenobiotics Biodegradation and Metabolism	Caprolactam degradation
K00003	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00003	Metabolism	Amino Acid Metabolism	Cysteine and methionine metabolism
K00003	Metabolism	Amino Acid Metabolism	Lysine biosynthesis
K00004	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00005	Metabolism	Lipid Metabolism	Glycerolipid metabolism
K00006	Metabolism	Lipid Metabolism	Glycerophospholipid metabolism
K00007	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00007	Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
K00008	Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
K00009	Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
K00010	Metabolism	Carbohydrate Metabolism	Inositol phosphate metabolism
K00010	Metabolism	Biosynthesis of Other Secondary Metabolites	Streptomycin biosynthesis
K00011	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00011	Metabolism	Carbohydrate Metabolism	Fructose and mannose metabolism
K00011	Metabolism	Carbohydrate Metabolism	Galactose metabolism
K00011	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00011	Metabolism	Lipid Metabolism	Glycerolipid metabolism
K00012	Metabolism	Carbohydrate Metabolism	Pentose and glucuronate interconversions
K00012	Metabolism	Carbohydrate Metabolism	Ascorbate and aldarate metabolism
K00012	Metabolism	Carbohydrate Metabolism	Starch and sucrose metabolism
K00012	Metabolism	Carbohydrate Metabolism	Amino sugar and nucleotide sugar metabolism
K00013	Metabolism	Amino Acid Metabolism	Histidine metabolism
K00014	Metabolism	Amino Acid Metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis
K00015	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00016	Metabolism	Carbohydrate Metabolism	Glycolysis / Gluconeogenesis
K00016	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00016	Metabolism	Carbohydrate Metabolism	Propanoate metabolism
K00016	Metabolism	Amino Acid Metabolism	Cysteine and methionine metabolism
K00018	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00018	Metabolism	Energy Metabolism	Methane metabolism
K00018	Metabolism	Amino Acid Metabolism	Glycine, serine and threonine metabolism
K00019	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00019	Metabolism	Lipid Metabolism	Synthesis and degradation of ketone bodies
K00020	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00021	Metabolism	Metabolism of Terpenoids and Polyketides	Terpenoid backbone biosynthesis
K00021	Organismal Systems	Digestive System	Bile secretion
K00022	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00022	Metabolism	Lipid Metabolism	Fatty acid elongation
K00022	Metabolism	Lipid Metabolism	Fatty acid metabolism
K00022	Metabolism	Amino Acid Metabolism	Valine, leucine and isoleucine degradation
K00022	Metabolism	Amino Acid Metabolism	Lysine degradation
K00022	Metabolism	Amino Acid Metabolism	Tryptophan metabolism
K00022	Metabolism	Metabolism of Terpenoids and Polyketides	Geraniol degradation
K00022	Metabolism	Xenobiotics Biodegradation and Metabolism	Caprolactam degradation
K00023	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00023	Metabolism	Carbohydrate Metabolism	Butanoate metabolism
K00024	Metabolism	Carbohydrate Metabolism	Citrate cycle (TCA cycle)
K00024	Metabolism	Carbohydrate Metabolism	Pyruvate metabolism
K00024	Metabolism	Carbohydrate Metabolism	Glyoxylate and dicarboxylate metabolism
K00024	Metabolism	Energy Metabolism	Carbon fixation in photosynthetic organisms
