Category	SuperPathway	SubPathway	Gene	KOAnnot
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00001	E1.1.1.1, adh; alcohol dehydrogenase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+)
Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	K00003	E1.1.1.3; homoserine dehydrogenase
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase
Metabolism	Carbohydrate metabolism	Propanoate_metabolism	K00005	gldA; glycerol dehydrogenase
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K00006	GPD1; glycerol-3-phosphate dehydrogenase (NAD+)
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00007	dalD; D-arabinitol 4-dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00008	SORD, gutB; L-iditol 2-dehydrogenase
Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase
Metabolism	Carbohydrate metabolism	Inositol_phosphate_metabolism	K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00011	E1.1.1.21, AKR1; aldehyde reductase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase
Metabolism	Amino acid metabolism	Histidine_metabolism	K00013	hisD; histidinol dehydrogenase
Metabolism	Amino acid metabolism	Phenylalanine_tyrosine_and_tryptophan_biosynthesis	K00014	aroE; shikimate dehydrogenase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00015	gyaR; glyoxylate reductase
Metabolism	Carbohydrate metabolism	Glycolysis___Gluconeogenesis	K00016	LDH, ldh; L-lactate dehydrogenase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00018	hprA; glycerate dehydrogenase
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_degradation	K00020	E1.1.1.31, mmsB; 3-hydroxyisobutyrate dehydrogenase
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH)
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00022	HADH; 3-hydroxyacyl-CoA dehydrogenase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00023	E1.1.1.36, phbB; acetoacetyl-CoA reductase
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00024	mdh; malate dehydrogenase
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00025	MDH1; malate dehydrogenase
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00026	MDH2; malate dehydrogenase
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00028	E1.1.1.39; malate dehydrogenase (decarboxylating)
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00030	IDH3; isocitrate dehydrogenase (NAD+)
Metabolism	Carbohydrate metabolism	Citrate_cycle_TCA_cycle	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	K00034	gdh; glucose 1-dehydrogenase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K00035	gal; D-galactose 1-dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase
Metabolism	Lipid metabolism	Primary_bile_acid_biosynthesis	K00037	E1.1.1.50; 3-alpha-hydroxysteroid dehydrogenase
Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00039	rbtD; ribitol 2-dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00040	uxuB; fructuronate reductase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00041	uxaB; tagaturonate reductase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00043	gbd; 4-hydroxybutyrate dehydrogenase
Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	K00044	HSD17B1; 17beta-estradiol 17-dehydrogenase
Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00048	fucO; lactaldehyde reductase
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00049	GRHPR; glyoxylate/hydroxypyruvate reductase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00050	ttuD; hydroxypyruvate reductase
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00051	E1.1.1.82; malate dehydrogenase (NADP+)
Metabolism	Carbohydrate metabolism	C5-Branched_dibasic_acid_metabolism	K00052	leuB; 3-isopropylmalate dehydrogenase
Metabolism	Amino acid metabolism	Valine_leucine_and_isoleucine_biosynthesis	K00053	ilvC; ketol-acid reductoisomerase
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	K00054	mvaA; hydroxymethylglutaryl-CoA reductase
Metabolism	Amino acid metabolism	Tyrosine_metabolism	K00055	E1.1.1.90; aryl-alcohol dehydrogenase
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)
Metabolism	Energy metabolism	Methane_metabolism	K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase
Metabolism	Lipid metabolism	Fatty_acid_biosynthesis	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase
Metabolism	Amino acid metabolism	Glycine_serine_and_threonine_metabolism	K00060	tdh; threonine 3-dehydrogenase
Metabolism	Metabolism of cofactors and vitamins	Retinol_metabolism	K00061	RDH5; 11-cis-retinol dehydrogenase
Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00065	kduD; 2-deoxy-D-gluconate 3-dehydrogenase
Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	K00066	algD; GDP-mannose 6-dehydrogenase
Metabolism	Metabolism of terpenoids and polyketides	Polyketide_sugar_unit_biosynthesis	K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase
Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase
Human Diseases	Cancers	Transcriptional_misregulation_in_cancers	K00069	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD)
Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	K00070	HSD3B; 3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase
Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	K00071	HSD11B2; corticosteroid 11-beta-dehydrogenase isozyme 2
Metabolism	Metabolism of cofactors and vitamins	Folate_biosynthesis	K00072	SPR; sepiapterin reductase
Metabolism	Nucleotide metabolism	Purine_metabolism	K00073	allD; ureidoglycolate dehydrogenase (NAD+)
Metabolism	Carbohydrate metabolism	Butanoate_metabolism	K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase
Metabolism	Carbohydrate metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	K00075	murB; UDP-N-acetylmuramate dehydrogenase
Metabolism	Metabolism of cofactors and vitamins	Pantothenate_and_CoA_biosynthesis	K00077	panE, apbA; 2-dehydropantoate 2-reductase
Metabolism	Carbohydrate metabolism	Pentose_and_glucuronate_interconversions	K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)
Metabolism	Lipid metabolism	Arachidonic_acid_metabolism	K00079	CBR1; carbonyl reductase 1
Metabolism	Lipid metabolism	Arachidonic_acid_metabolism	K00081	CBR2; carbonyl reductase 2
Metabolism	Metabolism of cofactors and vitamins	Riboflavin_metabolism	K00082	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase
Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid_biosynthesis	K00083	E1.1.1.195; cinnamyl-alcohol dehydrogenase
Metabolism	Lipid metabolism	Arachidonic_acid_metabolism	K00084	CBR3; carbonyl reductase 3
Metabolism	Carbohydrate metabolism	Propanoate_metabolism	K00086	dhaT; 1,3-propanediol dehydrogenase
Metabolism	Nucleotide metabolism	Purine_metabolism	K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit
Metabolism	Nucleotide metabolism	Purine_metabolism	K00088	guaB; IMP dehydrogenase
Metabolism	Lipid metabolism	Steroid_hormone_biosynthesis	K00089	E1.1.1.213; 3alpha-hydroxysteroid dehydrogenase (A-specific)
Metabolism	Carbohydrate metabolism	Pentose_phosphate_pathway	K00090	E1.1.1.215; gluconate 2-dehydrogenase
Metabolism	Energy metabolism	Methane_metabolism	K00093	medh; methanol dehydrogenase
Metabolism	Carbohydrate metabolism	Galactose_metabolism	K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase
Metabolism	Lipid metabolism	Glycerophospholipid_metabolism	K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+]
Metabolism	Metabolism of cofactors and vitamins	Vitamin_B6_metabolism	K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase
Metabolism	Metabolism of terpenoids and polyketides	Terpenoid_backbone_biosynthesis	K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase
Metabolism	Carbohydrate metabolism	Fructose_and_mannose_metabolism	K00100	E1.1.1.-;
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00101	E1.1.2.3, lldD; L-lactate dehydrogenase (cytochrome)
Metabolism	Carbohydrate metabolism	Pyruvate_metabolism	K00102	dld, LDHD; D-lactate dehydrogenase (cytochrome)
Metabolism	Carbohydrate metabolism	Ascorbate_and_aldarate_metabolism	K00103	GULO; L-gulonolactone oxidase
Metabolism	Carbohydrate metabolism	Glyoxylate_and_dicarboxylate_metabolism	K00104	glcD; glycolate oxidase
